field_name,question_text_if_available,type,value_labels_if_any,missing_rate
Q32,Please briefly describe any other factors that influenced you to pursue a graduate degree.,text,"Additional asset to add to my resume | I am an accountant and want to explore other opportunities that require a CPA. | I wanted to pursue a graduate degree to obtain 150 credit hours, which is a prerequisite for enrolling in the CPA exam. Until recently, the state changed the law to 120 credit hours and 2 years of working experience. Since I am already enrolled, I decided to finish my graduate program regardless of the change in credit hours. | Other certification requirements | I pursued a graduate degree, starting in January, to complete the requirements for the CPA exam. I learned in September about the alternate pathway | Specifically for Texas A&M - this program includes classes on data analytics (which I think is useful for all accountants and other business professionals) and a class on oil accounting (which I have been very curious about ever since I began work at Valvoline, a drive-thru oil change service which also manufactures their own oil products) | I want to obtain enough knowledge to be ready when the time comes to change jobs. I feel that completing a graduate degree will provide that and I am already applying some of the new knowledge obtained in my current job position. | I want to gain advanced tools to solve complex, real-world problems with confidence | Personal achievement, nobody in my family has graduated high school. Everyone has their GED. | Before enrolling in the TAMUCC graduate program I already had the credits to sit for the CPA exam however, I decided to pursue the graduate accounting degree to help me with my studies for the CPA exam, and to get myself back into the groove of things since I finished my undergraduate education over 10 years ago. Additionally, in my circumstances I don't believe that pursuing this degree would delay my career advancement compared to other in my situation since I am maintaining my full time job while I study for both the graduate degree and CPA exam prep. | needed to become an accounting professor at most colleges | Set an example for the rest of my family members, first generation student.",0.7910
Q33,"To what extent do you agree with the following statement about the value of a graduate accounting degree?

Earning a graduate degree will help me move up the career ladder more quickly than if I did not pursue a graduate degree.",Likert,Somewhat agree | Strongly agree | Strongly disagree | Somewhat disagree | Neither agree nor disagree,0.7313
Q34,"To what extent do you agree with the following statement about the value of a graduate accounting degree?

Earning a graduate degree may delay my career advancement compared to peers who started full-time jobs earlier.",Likert,Somewhat disagree | Somewhat agree | Strongly agree | Strongly disagree | Neither agree nor disagree,0.7313
Q35,How likely would you have been to pursue a graduate degree if you had known about the alternative pathway to CPA licensure before you entered the graduate program?,multi-choice,Somewhat likely | Extremely likely | Neither likely nor unlikely | Extremely unlikely | Somewhat unlikely,0.8060
Q36,Please explain why you would have been likely or unlikely to pursue a graduate degree had you known about the alternative pathway before beginning the graduate program?,text,"I believe any additional knowledge and experience would be beneficial whether I was going to pursue the CPA exam or not. I hope to have an upper hand when completing job application over those who do not have a graduate degree. | I would be unsure if I knew the state was going to change the credit hours from 150 to 120. However, since I am already enrolled, I will continue and finish my graduate program. | The graduate program taught me more than I knew before and gave me the resources to find the answers to accounting questions that may come up later in my career. I am not currently working under a licensed CPA, so I do not know if I would have changed jobs or added a part-time job to pursue the alternate pathway. | I only entered the program to get the 150 hours for the CPA exam, so if I would have known I would most likely not be in the program. | I believe the graduate degree offered unique benefits such as structured learning, access to faculty expertise, and networking opportunities that the alternative pathway could not fully replicate. | master's degree is still required for teaching accounting with or without CPA | I wanted to pursue a masters | It has been extremely difficult for me to afford the MAcc program; not even loans are available... if there were an alternative before beginning, I would 100% take it. Now i feel dumb if I do not complete it for only 4 classes left. | If I had 120 hours, I would work 2 years grateful due to the opportunity to grow with experience. End goal is still CPA licensure which provides a lucrative living. | I have a BS in Environmental Science so taking the coursework for accounting required a significant time investment which could have gotten me an additional BS in Accounting or the graduate degree in a similar time frame. I chose the path that would give me the higher level of education you can get in a graduate program. | Regardless of whether I follow the traditional or alternative path, I still need to pursue a graduate program to meet the CPA credit-hour requirement. My undergraduate degree from Vietnam does not provide the full 120 or 150 credit hours needed for CPA eligibility. | Getting my graduate is one of my goal and CPA is my next step. My company have tuition assistance for graduate degrees so it's another reason for me to take advantage of.",0.8259
Q37,"Given that you entered the graduate program with the knowledge of the alternative pathway to CPA licensure, how satisfied are you that you’re pursuing a graduate degree?",multi-choice,Somewhat satisfied | Extremely satisfied | Neither satisfied nor dissatisfied | Extremely dissatisfied,0.9254
Q38,What about the graduate program has made you feel satisfied or unsatisfied with your choice to pursue a graduate degree?,text,"I am satisfied with the content provided in each class. The professors are educated and help with the classes and the process to complete my MAcc. | Some classes do not present the information well. | Broad range of unique electives that I think will give me more depth of knowledge that others who may have only worked in one industry | As I mentioned before, I am obtaining new knowledge that is helping in my career. I will be able to explore other areas of accounting, like forensic and oil and gas accounting. | One side of me doesn’t want to obtain my masters degree, the other part of me wants to continue for personal achievement. | There are areas of accounting that I studied during undergrad that I haven’t revisited in my career, and this program has provided a helpful refresher while deepening my understanding of those topics. I’ve also appreciated learning more advanced concepts that apply to real-world scenarios. While some courses feel more theoretical than practical at times, the program overall has strengthened my confidence and broadened my skill set. | Satisfied that it helps to stand out a little more and unsatisfied in how much more time and money it takes to gain a graduate degree. | Way different learning and teaching methods than my previous degrees, thus requiring significantly different approaches to consume and execute the requirements. | I am obtaining knowledge that I didn't have. that is satisfying in my perspective. | Since the program is online, not content with the format of teaching style as most of the faculty doesn’t explain the course. Self reading. | I am getting knowledge that should help in both the CPA exam and in my job.",0.9453
Q39_1,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - CPA Exam Preparation,Likert,Extremely important | Moderately important | Very important | Slightly important | Not at all important,0.0100
Q39_2,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Networking Opportunities with Peers and Alumni,Likert,Very important | Extremely important | Moderately important | Slightly important | Not at all important,0.0149
Q39_3,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Interaction with Experienced Faculty,Likert,Slightly important | Very important | Extremely important | Moderately important | Not at all important,0.0100
Q39_4,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Coursework that Enhances Technical Accounting Skills,Likert,Moderately important | Extremely important | Very important | Slightly important,0.0149
Q39_5,"Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Soft Skill (communication, leadership) Development",Likert,Moderately important | Very important | Extremely important | Slightly important | Not at all important,0.0100
Q39_6,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Internship and Recruiting Opportunities,Likert,Extremely important | Very important | Moderately important | Slightly important | Not at all important,0.0149
Q39_7,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Online courses that allow for flexible learning,Likert,Extremely important | Very important | Moderately important | Not at all important | Slightly important,0.0100
Q39_8,Consider the following potential qualities of a graduate program. How important are each of the qualities to make a graduate program attractive and provide value to potential students given the availability of the alternative pathway to CPA licensure? - Specialized tracks or career-focused credentials,Likert,Extremely important | Moderately important | Very important | Slightly important,0.0149
Q40,To what extent do you agree with the following statement? The graduate accounting curriculum has prepared me to pass the CPA Exam.,Likert,Neither agree nor disagree | Somewhat agree | Strongly agree | Somewhat disagree | Strongly disagree,0.7313
Q41,"If you believe that a graduate accounting degree is valuable beyond attaining CPA certification eligibility, please describe the reasons you believe it is valuable.",text,"A specialized degree such as the MAcc provides confidence that an individual studied specific courses in accounting. This add value to a CPA certification. | I believe that having a CPA licence and a master's degree will make you stand out more in the workforce. | N/A | I will have more job opportunities outside of my current company with a graduate degree. I have not taken the CPA exam, so I do not know whether it has prepared me well enough for it. I do plan to take a CPA prep course, so I do not feel well enough prepared for any part of the CPA exam at this point in my schooling. I have less than 2 weeks left to finish the graduate program. | More book learning and exposure to many types of problems in a low-risk environment, both of which will likely increase confidence as well | It will provide a competitive edge in the current crowded job market and can lead to higher starting salaries. | Provides deeper knowledge in areas such as auditing, taxation, financial reporting, and data analytics that go beyond CPA exam coverage. | Look better for recruiters,
Career opportunities 
Education going for PHD | The coursework provides deeper technical understanding, refreshes areas I may not encounter regularly in practice, and strengthens critical thinking skills. It also exposes students to updated standards, emerging technologies, and broader business concepts that contribute to becoming a more well-rounded professional. | to become an accounting professor | Yes, in today’s market you need a resume that will stick out as well as the experience. | Only to move up the ladder, not valuable for attaining CPA eligibility",0.8060
Q42,What career options do you believe will open up to you by completing graduate education that would not have been otherwise available?,text,"Openings beyond just entry level positions | I believe the ability to be a controller, CFO or owning my own practice will be more available once I complete my graduate education. | Completing a graduate education significantly expands the range of career opportunities available to me, many of which would be difficult or nearly impossible to access with only an undergraduate degree. In accounting, a master’s program not only deepens technical knowledge but also signals a higher level of professional preparation to employers. | None | I could get a job at an accounting firm that I was not qualified for before pursuing my bachelor's degree, and now that I have some experience in accounting and a graduate degree, I will be able to check off those boxes. | Because the program seems to be preparing me well for the CPA exam, I think any CPA role will be much more achievable with this degree than without | Obtaining a senior role, like Controller or CFO. | '- Enhanced credibility for international roles, especially in organizations that value advanced academic qualifications alongside professional certifications. | Nothing | Completing this graduate program I believe will broaden my career opportunities, because it is enhancing my qualifications for roles that require more advanced technical knowledge. There are courses that are providing new skills for me to use in the workplace that I would not have gained just by studying for the CPA alone, without the graduate accounting program. | acocunting professor | I’m currently working for an airline, I have experience in the finance department and I am currently working in the claims department for analytical role. I am hoping that this will set my resume aside as I continue to grow within the corporation.",0.7960
Q44,Do you believe that earning a graduate degree will result in higher lifetime earnings compared to entering the workforce after your undergraduate degree?,Likert,Definitely yes | Definitely not | Probably yes | Might or might not | Probably not,0.7313
Q45,"Please explain how you have personally thought about the costs and benefits (e.g., tuition, lost income, expected salary, future promotions) of attending graduate school.",text,"I saw this as an investment in my future. I do not have the experience that employers may want yet so I hope that my graduate degree will compensate at least a little bit for that lack of experience. After getting my undergraduate in 2020 I became pregnant and had 3 children with my husband by 2023, and I chose to care for my children because they were my priority in that time. So those years put me behind, I feel, the sense of my professional world. Attending graduate school to me is worth the cost of gaining knowledge and being able to share the credential with future employers. | I think the cost is very reasonable. I compared programs and this program was one of the least expensive options. | When deciding to attend graduate school, I had to weigh both the financial costs and the long-term career benefits. On the cost side, tuition was the most obvious factor. I knew that completing a master’s program would require a meaningful financial investment, especially when combined with textbooks, fees, and other academic expenses. | The cost of 15K for the graduate degree I take as a sunk but necessary cost. This degree will allow me to avoid a lot of additional work required by the state for different certification licensures | I took out loans for grad school because the cost-benefit of having the degree would pay off in the long run. | The finances are definitely stressful. CPAs seem to make good money, but not doctor money or anything. I was very reluctantly applying to a MAcc that was going to cost north of 30k, so TAMUCC's advertised $15k was very appealing to me. | I expect a graduate degree to increase my earning potential and accelerate career advancement, since many leadership roles in accounting require a master's degree. I see this as an investment in my future. In the long run, I think that the benefits will outweigh the cost. | Advanced education strengthens my qualifications for leadership and specialized positions. | I started this purley to get my CPA but honestly thinking about not continuing it and moving on the CPA prep | I evaluated the tuition cost and time commitment alongside the long-term benefits of higher earning potential, stronger technical skills, and increased career opportunities. Although it required sacrifice, I ultimately viewed graduate school as a valuable investment in my future. | I did not plan on completing my graduate degree without some kind of financial assistance. I got started with the hopes of qualifying for a scholarship along the way. This semester I decided to take out more loans in order to cover the cost and miraculously qualified for a scholarship at the same time. So I was prepared to pay the cost but was very grateful that I didn't have to. | I received a promotion while in graduate school, I believe that having a masters will make me a more competitive applicant when applying for a new position.",0.7960
Q46,Do you currently work more than 20 hours a week in the accounting field while pursuing a degree?,multi-choice,No | Yes,0.0100
Q47,Do you currently work in a CPA firm?,multi-choice,No | Yes,0.0100
Q48,Do you have a job offer within the accounting field that begins around your graduation date from the graduate program?,multi-choice,No | Yes,0.7313
Q49,Has your current or future employer emphasized that they require or strongly encourage a graduate degree in order to maintain a job offer or gain promotion?,multi-choice,Yes | No,0.7313
Q50,Please explain your reasoning for the answer you selected above.,text,"I believe that the more advanced courses that you would obtain after getting the 120 hours are very beneficial to anyone obtaining their CPA license | I do not like the additional year of work experience that was added. | I am neutral about the change that happened. I was first upset because I had already enrolled in a graduate program, but now I see that it is better to have a masters degree and a CPA licence. | No comment | I have never been drawn to the CPA exam or taking it. My “dream” jobs in the accounting world don’t necessarily need a CPA so to me I’m okay not taking it so the news doesn’t affect me that much. | I do not necessarily want to be a CPA, but I enjoy the classes for it. | I feel like this is great especially for students that may nit be able to afford to go to grad school and get more hands on learning. | An extra year of work would not give me the same level of knowledge as this year of the graduate program. | I didn't find a BS in Accounting to go very deep on some of the more technical aspects of accounting. I'm sure working long enough would absolutely make up for that, but I think there's a place for book learning in a field like accounting. | I still think that a master's degree should be required to be better prepared for the CPA exam and the type of work you will perform after obtaining your license. I do understand that they are trying to make it affordable for people to obtain their CPA license though. | Working through this program I feel that I haven't learned as much as I hoped regarding accounting, so I believe that only needing the 120 with 2 years of experience is a better alternative. | Helps individuals with financial issues as well as making it more accessible.",0.1542
Q51,"How has the availability of
(or knowledge about) the alternative pathway to CPA licensure impacted your desire to
pursue the CPA license?",multi-choice,No change in desire | Increased desire | Decreased desire | Significantly increased desire | Significantly decreased desire,0.2786
Q52,"How has the availability of
(or knowledge about) the alternative pathway to CPA licensure impacted your desire to
pursue a graduate degree (MAcc or MBA)?",multi-choice,No change in desire | Increased desire | Decreased desire | Significantly decreased desire | Significantly increased desire,0.2786
Q53,Were you aware of the alternative pathway to CPA licensure before taking the survey?,multi-choice,No | Yes,0.2786
Q55,Do you believe that earning a graduate degree would result in higher lifetime earnings compared to entering the workforce after your undergraduate degree?,Likert,Might or might not | Definitely yes | Probably not | Probably yes | Definitely not,0.2836
Q56,"Please explain how you have personally thought about the costs and benefits (e.g., tuition, lost income, expected salary, future promotions) of attending graduate school.",text,"I’ve thought about graduate school many times, but the main thing that stops me is the cost. I come from a low-income family, so I wouldn’t have any help paying for it. Taking out loans would mean putting myself in debt that could take years to pay off, and that’s a huge weight to think about.
I’ve also looked at the benefits. I know graduate school can lead to higher pay or better job opportunities, but those benefits usually don’t show up right away. From what I’ve seen in my own work experience, promotions can depend on education, but they also depend a lot on experience. I’ve worked alongside people with degrees, and we often start in the same place and move up at the same pace. I’ve also seen people reach high positions without an undergraduate or graduate degree at all.
So when I compare the cost, the debt, and the time to see any payoff to where I am now and the experience I’m gaining, graduate school doesn’t feel like the right choice for me personally. | I have compared the benefits of having my Bachelors Degree to getting my Masters Degree and having my Masters Degree would greatly impact the positions I am eligible for. | I have spoke to many people that have CPA's from where I am from. The ones that have masters are making quite a bit more because many that only have undergrads do not have CPA's. I am wanting to attend grad school to also obtain more knowledge. | Since work experience can be equally valued or more valued than education depending on level of experience. | I feel like I will be able to bring in more with a masters degree so it would balance out | My parents would pay for the school and I would pay them back over time. | I have hesitance to enroll in a graduate program immediately after completing my BBA due to the costs. I would like to pay down my student loans before taking out more loans to fund a graduate degree. I do believe that having a graduate degree would provide more opportunity for me in my career, and ultimately lead to a higher salary. | In our current economy, everything has increased tremendously, making daily expenses harder and necessitating careful consideration before pursuing a higher education degree. I also know how valuable a degree is and how it can significantly impact your salary and future promotions. I have been laid off twice, and the last one affected me greatly. Even though I had 12 years of experience in the finance industry, and every job I applied for stated that you either needed a degree or 3 years of experience, I was still turned down for not having a degree. I had no choice but to start over in entry-level employment, and it has taken me 11 years to reach the same salary I had at 23. | They’re going  to be more expensive | I am not attending graduate school. | My personal thought is that my Bachelor's in accounting will be enough to provide immediately after college. I have kept open to the idea of grad school or a CPA, but really only if an employer pays for it. | Getting a degree is expensive so hoping it’s one of those degrees that’ll pay for itself",0.3881
Q57,Is your graduate program mostly/fully online or mostly/fully in person?,multi-choice,Fully or mostly online | Fully or mostly in person,0.7313
Q58,"Are you enrolled in an MAcc, MBA, or other graduate program?",multi-choice,MAcc | MBA | Other,0.7313
Q59,What influenced your choice of graduate degree program beyond the others mentioned?,text,"I want to sit for the CPA exam and j need more accounting hours and business law. | I wanted to further my knowledge and gain more experience in accounting. | Cost | I need a career, not a job. I need to make enough money to support my family. | MAcc programs seem more focused and technical than other graduate options like MBAs | Better preparation for the CPA exam and more aligned with my career goals. | Coursework emphasized both technical accounting skills and emerging areas like data analytics. | Because it is an accelerated program, and the ability to study remotely. | attending the same college I got my undergrad in | I have an accounting degree so it just made sense to me. And eventually will pursue my CPA | Contract requirement | Pursuing CPA licensure; hard time entering roles with just my bachelors degree",0.7960
Q6,What is your overall perception of the change to CPA licensure pathways that creates an alternative pathway with fewer credit hours and an extra year of work experience?,Likert,Neutral | Somewhat Negative | Somewhat Positive | Very Positive | Very Negative,0.0100
Q60,In which state is your school located?,multi-choice,Texas | Utah,0.0149
Q61,Do you agree with the information above and consent to take the survey?,multi-choice,Yes | No,0.0000
Q65,What is your age?,other,22 | 28 | 49 | 24 | 23 | 56 | 33 | 20 | 41 | 21 | 43 | 25,0.0149
Q8_1,"Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Auditing",multi-choice,1 | 4 | 6 | 7 | 3 | 2 | 5,0.0398
Q8_2,"Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Taxation",multi-choice,4 | 5 | 3 | 2 | 1 | 7 | 6,0.0398
Q8_3,"Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Financial Accounting",multi-choice,5 | 3 | 1 | 2 | 4 | 6 | 7,0.0398
Q8_4,"Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Management Accounting",multi-choice,6 | 2 | 4 | 3 | 5 | 1 | 7,0.0398
Q8_5,"Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Information Systems",multi-choice,3 | 1 | 6 | 5 | 4 | 7 | 2,0.0398
Q8_6,"Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Data Analytics",multi-choice,2 | 5 | 6 | 4 | 3 | 7 | 1,0.0398
Q8_7,"Given the availability of the alternative pathway to CPA licensure, which disciplines or specializations within a graduate program do you think would be the most beneficial to include in the curriculum to provide value to students? Please rank each option from what you believe would me most beneficial to least beneficial. - Other business management courses (management, marketing, economics, etc)",multi-choice,7 | 6 | 3 | 5 | 1 | 4,0.0398
Q9,"Please share any thoughts on how the graduate program could be improved or adapted in light of potential changes to CPA licensure pathways. Consider areas such as coursework, program structure, career services, or student support services, and please be as specific as possible.",text,"Making each course more applicable to real world experiences, and not solely theoretical. I feel like a lot of textbooks are outdated and confined in possibilities. I appreciate project work more than exams, I believe it is more beneficial and tactical. | I would like to see a course added specifically for CPA preparation. | With the ongoing discussions around modernizing CPA licensure, especially the move toward more technology-focused pathways, I believe the graduate program has an opportunity to adapt in ways that better prepare students for the future of the profession | McGrawhill quizzes are generally not similar to homework’s/book reading. This is generally an area that causes students to struggle | As CPA licensure pathways continue to change, I think the graduate program could be improved by becoming more flexible and more focused on real-world experience. If states begin allowing more experience hours in place of extra coursework, it would help if the program offered structured internship or work-based learning options that count toward both degree requirements and CPA preparation. That would make the program feel more practical and aligned with what employers are asking for. | I still do not know what to expect for the CPA exam. I do not know what kinds of questions will be on the exam. I do not know what exactly I need to focus on to prepare for the different sections. | Even without a credit requirement, I think many people will choose to do graduate coursework as a CPA prep method. Making sure as many classes as possible are directly tailored to the six possible exams could be appealing to many people. Even if no significant changes need to be made to specific courses, adding some kind of note in the course description (like a bolded ""This course will help prepare students for exam AUD"" or something like that) could help students know what courses to pick to prepare for which exams, and could help make students more confident that this program and the specific courses would be helpful for their CPA prep | There should be an elective course dedicated exclusively for CPA exam preparation to make obtaining a master's degree more attractive. | Ensuring a higher pass rate would benefit. | Make classes specific to preparing people for the CPA exam | It could be improved in the graduate program by minimizing courses that wouldn’t apply to the major taken. | Strenghthen skills in areas like AI, automation, and data visualization which complement CPA preparation and make graduates more competitive. 
Hybrid/ accelerated options: provide shorter, intensive formats or hybrid online modules to reduce opportunity costs for students balancing work and study.",0.2687
RecordedDate,Recorded Date,other,2025-11-21 01:37:23 | 2025-11-21 04:56:07 | 2025-11-21 05:00:11 | 2025-11-21 06:04:41 | 2025-11-21 06:39:43 | 2025-11-21 06:50:30 | 2025-11-21 07:26:08 | 2025-11-21 07:31:54 | 2025-11-21 07:47:49 | 2025-11-21 08:34:08 | 2025-11-21 09:08:39 | 2025-11-21 09:26:41,0.0000
ResponseId,Response ID,other,R_3fVRxsnTNVXSp8D | R_53xqS5nQKlWLjP1 | R_3R1DTey9xSv9izD | R_3rCJfx9KvGTJe8o | R_6EeUtxh8X1L4VGh | R_1cpazEl8SVGhmnI | R_31zifsL87jg3b2a | R_1P1NtBRJQLOcTnI | R_1l3pgIqYqAwy2sW | R_5dJExdAQr1rC6ul | R_3SJ1tKpP8pxJv7u | R_6oMWUgiATqOr1nP,0.0000
StartDate,Start Date,other,2025-11-21 01:28:41 | 2025-11-21 04:34:09 | 2025-11-21 04:46:56 | 2025-11-21 05:52:22 | 2025-11-21 06:29:55 | 2025-11-21 06:43:47 | 2025-11-21 07:16:34 | 2025-11-21 07:11:16 | 2025-11-21 07:41:48 | 2025-11-21 08:16:30 | 2025-11-21 08:43:08 | 2025-11-21 09:02:18,0.0000
Status,Response Type,multi-choice,IP Address,0.0000
UserLanguage,User Language,multi-choice,EN,0.0000
